list_date,isbn13,rank,weeks_on_list,title,author,publisher,description,month
2018-09-16,9781501180989,4,15,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,9
2018-09-16,9781455572168,5,4,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,9
2018-09-16,9780062430274,6,2,PIECES OF HER,Karin Slaughter,Morrow,"When a violent incident reveals her mother’s secret past, Andrea Oliver searches for clues to save her.",9
2018-09-16,9780316556347,7,5,CIRCE,Madeline Miller,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals.",9
2018-09-16,9781250102683,8,1,STYGIAN,Sherrilyn Kenyon,Tor,The 29th book in the Dark-Hunter series. A trained slayer forms alliances with enemies.,9
2018-09-16,9780425284681,9,50,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,9
2018-09-16,9780525520375,10,10,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,9
2018-09-16,9780425270714,11,1,MAGIC TRIUMPHS,Ilona Andrews,Ace,"The 10th book in the Kate Daniels series. After starting a family with a former Beast Lord, Kate faces the threat of war from an ancient enemy.",9
2018-09-16,9780062678416,12,30,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,9
2018-09-16,9780735224292,13,47,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,9
2018-09-16,9780062834829,14,7,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",9
2018-09-16,9781250099594,15,3,FEARED,Lisa Scottoline,St. Martin's,Mary DiNunzio and Bennie Rosato must solve a murder and handle a reverse sex discrimination suit against their firm.,9
2018-09-23,9781250161567,1,1,LEVERAGE IN DEATH,J.D. Robb,St. Martin's,Lieutenant Eve Dallas investigates a mysterious act of terror.,9
2018-09-23,9780399179266,2,1,IN HIS FATHER'S FOOTSTEPS,Danielle Steel,Delacorte,The son of two Holocaust survivors struggles to become his own person after his marriage falls apart.,9
2018-09-23,9780316412698,3,14,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,9
2018-09-23,9780316556668,4,4,TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.,9
2018-09-23,9780525522478,5,1,DEPTH OF WINTER,Craig Johnson,Viking,Sheriff Longmire takes on the head of a drug cartel in a remote area of the northern Mexican desert.,9
2018-09-23,9781328613042,6,2,THE FALL OF GONDOLIN,J.R.R. Tolkien,Houghton Mifflin Harcourt,"Thousands of years before the events of “The Lord of the Rings,” a hero named Tuor visits a secret city. Edited by Christopher Tolkien.",9
2018-09-23,9781501180989,7,16,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,9
2018-09-23,9780451490087,8,1,DARK SENTINEL,Christine Feehan,Berkley,The 32nd book in the Carpathian series. Andor Katona tries to convince Lorraine Peters of their immortal bond.,9
2018-09-23,9780735219090,9,1,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",9
2018-09-23,9780425284681,10,51,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,9
2018-09-23,9781455572168,11,5,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,9
2018-09-23,9780062430274,12,3,PIECES OF HER,Karin Slaughter,Morrow,"When a violent incident reveals her mother’s secret past, Andrea Oliver searches for clues to save her.",9
2018-09-23,9780525520375,13,11,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,9
2018-09-23,9780062688590,14,1,TIMELESS,R.A. Salvatore,Harper Voyager,Zaknafein and Drizzt must overcome their differences to protect their loved ones.,9
2018-09-23,9780062657572,15,1,FIELD OF BONES,J.A. Jance,Morrow,Sherriff Joanna Brady oversees the complex investigation of a multiple homicide.,9
2018-09-30,9780316474122,1,1,JUROR #3,James Patterson and Nancy Allen,"Little, Brown",Ruby Bozarth defends a college football star charged in a felony case complicated by a second murder.,9
2018-09-30,9780735219069,2,1,SHADOW TYRANTS,Clive Cussler and Boyd Morrison,Putnam,Juan Cabrillo and his crew fight two destructive adversaries.,9
2018-09-30,9781250161567,3,2,LEVERAGE IN DEATH,J.D. Robb,St. Martin's,Lieutenant Eve Dallas investigates a mysterious act of terror.,9
2018-09-30,9780399179266,4,2,IN HIS FATHER'S FOOTSTEPS,Danielle Steel,Delacorte,The son of two Holocaust survivors struggles to become his own person after his marriage falls apart.,9
2018-09-30,9780525483700,5,1,THE FORBIDDEN DOOR,Dean Koontz,Bantam,"Jane Hawk, a former F.B.I. agent, must stop a secret group using mind-control technology.",9
2018-09-30,9780316556668,6,5,TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.,9
2018-09-30,9780316412698,7,15,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,9
2018-09-30,9780735219090,8,2,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",9
