list_date,isbn13,rank,weeks_on_list,isbn10,title,author,publisher,description,month,clean_description,dominant_topic,sentiment_compound
2018-08-19,9780735224292,14,44,,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,8,artist upend quiet town outside cleveland,6,0.0
2018-08-19,9780525520375,15,9,,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,8,multigenerational story explore plight urban native american,5,0.0
2018-08-26,9781455572168,1,1,,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,8,pilot navigate treacherous situation attempt deliver mysterious black box doctor georgia,18,0.0
2018-08-26,9780316412698,2,10,,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8,president jonathan duncan take adversary home abroad,2,-0.2023
2018-08-26,9780425255681,3,1,,SERPENTINE,Laurell K. Hamilton,Berkley,The vampire hunter Anita Blake goes to a Florida island where members of a family turn into a mass of snakes.,8,vampire hunter anita blake go florida island member family turn mass snake,12,0.0
2018-08-26,9781501180989,4,12,,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8,detective investigate seemingly wholesome member community     year old boy body find,9,0.0
2018-08-26,9780062834829,5,4,,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",8,gabriel allon art restorer assassin fight russians decide fate postwar global order,12,-0.3818
2018-08-26,9780525557623,6,1,,AN UNWANTED GUEST,Shari Lapena,Pamela Dorman,A Catskills lodge loses electricity during a blizzard and its guests start mysteriously dropping dead.,8,catskill lodge lose electricity blizzard guest start mysteriously drop dead,17,-0.8442
2018-08-26,9780525655527,7,5,,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8,window willa drake life     year adjust life surprise,12,0.2732
2018-08-26,9781501138126,8,2,,PARADOX,Catherine Coulter,Gallery,"In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.",8,book thriller series agent sherlock savich look escape psychopath,12,0.2732
2018-08-26,9780735218598,9,1,,THE MONEY SHOT,Stuart Woods and Parnell Hall,Putnam,"A movie star is blackmailed and Teddy Fay, disguised as an actor and stuntman, investigates.",8,movie star blackmail teddy fay disguise actor stuntman investigate,15,-0.25
2018-08-26,9780399181252,10,4,,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8,annie marlow form new relationship pacific northwest try recover tragedy,13,-0.6597
2018-08-26,9780316375269,11,8,,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8,body find nantucket harbor hour picture perfect wedding,19,0.5719
2018-08-26,9780425284681,12,47,,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8,south carolina lawyer learn questionable practice tennessee orphanage,10,-0.296
2018-08-26,9780399178924,13,7,,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8,scandal send member nashville family chaos,18,-0.765
2018-08-26,9781476778440,14,10,,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8,emily charlton plan comeback suburb,17,0.0
2018-08-26,9781476789415,15,6,,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8,book scot harvath series,19,0.0
