isbn13,isbn10,title,author,publisher,description
9781501195129,,LOVER UNVEILED,J.R. Ward,Gallery,The 19th book in the Black Dagger Brotherhood series. Sahvage and Mae fight against what she unleashed.
9780316499408,,THE RED BOOK,James Patterson and David Ellis,"Little, Brown",The second book in the Black Book thriller series. Chicago detective Billy Harney investigates his own past.
9781250120953,,THE GOOD SISTER,Sally Hepworth,St. Martin's,"Past secrets come up when Fern decides to pay back her twin sister, Rose, by having a baby for her."
9781598536768,,THE MAN WHO LIVED UNDERGROUND,Richard Wright,Library of America,"A previously unpublished novel by the author of “Native Son,” with an afterword by his grandson Malcolm Wright. A Black man named Fred Daniels is tortured by the police until he confesses to a crime he did not commit."
9781538748213,,WIN,Harlan Coben,Grand Central,Windsor Horne Lockwood III might rectify cold cases connected to his family that have eluded the F.B.I. for decades.
9780778311010,,THE LOST APOTHECARY,Sarah Penner,Park Row,An aspiring historian in London finds a clue that might put to rest unsolved apothecary murders from 200 years ago.
9780062876003,,GOOD COMPANY,Cynthia D'Aprix Sweeney,Ecco,The foundation of a marriage between actors is shaken when they reunite with an old friend who is now a TV star.
9780316258678,,THE HOTEL NANTUCKET,Elin Hilderbrand,"Little, Brown",The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.
9780385549325,,SPARRING PARTNERS,John Grisham,Doubleday,"Three novellas: “Homecoming,” “Strawberry Moon” and “Sparring Partners.”"
9781984821676,,SUSPECTS,Danielle Steel,Delacorte,A C.I.A. agent on a covert mission develops a relationship with a woman who is considered fashion royalty and has a tragic past.
9780593183199,,THE HOUSE ACROSS THE LAKE,Riley Sager,Dutton,An actress escaping bad press goes to a Vermont lake house and uncovers secrets within a neighboring couple’s marriage.
9780316499446,,ESCAPE,James Patterson and David Ellis,"Little, Brown",The third book in the Billy Harney thriller series. Detective Harney goes after a billionaire crime boss and a prison escape artist.
9780063204201,,THE MEASURE,Nikki Erlick,Morrow,People around the world receive a small wooden box telling them the exact number of years they will live.
9781501171345,,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.
9780399562969,,HORSE,Geraldine Brooks,Viking,"The story of a racehorse, an enslaved groom and an itinerant painter reverberates in three different eras."
9780593358603,,STAR WARS: SHADOW OF THE SITH,Adam Christopher,Del Rey,"Nearly two decades after the Battle of Endor, Lando Calrissian informs Luke Skywalker of a new Sith menace."
9780425286647,,MEANT TO BE,Emily Giffin,Ballantine,"Joe, the disappointing scion of a family considered American royalty, and Cate, a budding model seeking to escape her surroundings, find each other."
9780759554344,,"RUN, ROSE, RUN",Dolly Parton and James Patterson,"Little, Brown",A singer-songwriter goes to Nashville seeking stardom but is followed by her dark past.
9780063003057,,THE PARIS APARTMENT,Lucy Foley,Morrow,Jess has suspicions about her half-brother’s neighbors when he goes missing.
9780593300268,,LAPVONA,Ottessa Moshfegh,Penguin Press,"When a motherless shepherd boy gets in violent proximity to a depraved lord’s family, occult forces upset the old order in a medieval fief."
9781538747278,,THE SCORPION'S TAIL,Douglas Preston and Lincoln Child,Grand Central,The second book in the Nora Kelly series. An F.B.I. agent and an archaeologist identify a mummified corpse and its gruesome cause of death.
